2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04154278+2909597,Gaia DR2 164800235906366976,IRAS04125+2902,04 15 42.79,+29 09 59.8,12.336,-17.754,6.282,GaiaDR2,,,6,1,1,1,0,*,2MASS J04154278+2909597
2MASS J04154807+2911331,Gaia DR2 164801743439026048,,04 15 48.09,+29 11 33.0,,,,,,,0,0,0,1,0,,2MASS J04154807+2911331
2MASS J04155799+2746175,Gaia DR2 162967384383246336,,04 15 57.98,+27 46 17.4,7.818,-24.652,7.401,GaiaDR2,15.290,17,7,1,1,1,0,*,2MASS J04155799+2746175
2MASS J04161210+2756385,Gaia DR2 164474986623118592,,04 16 12.10,+27 56 38.8,8.887,-25.716,7.303,GaiaDR2,16.380,17,7,1,1,1,0,*,2MASS J04161210+2756385
2MASS J04161407+2758275,Gaia DR2 164475467657712256,,04 16 14.08,+27 58 26.7,9.250,-23.460,7.864,GaiaDR2,,,0,0,0,0,1,,2MASS J04161407+2758275
2MASS J04161726+2817128,Gaia DR2 164676575208109568,,04 16 17.27,+28 17 12.4,8.267,-25.347,7.657,GaiaDR2,14.710,17,7,1,0,1,0,*,2MASS J04161726+2817128
2MASS J04161885+2752155,Gaia DR2 164470794735041152,,04 16 18.86,+27 52 15.6,7.469,-24.929,7.314,GaiaDR2,,,7,1,1,1,0,*,2MASS J04161885+2752155
2MASS J04162725+2053091,Gaia DR2 49366530195372416,,04 16 27.26,+20 53 09.2,5.365,-12.253,7.460,GaiaDR2,19.300,16,0,0,1,0,0,,2MASS J04162725+2053091
2MASS J04162810+2807358,Gaia DR2 164666022471759232,LkCa4,04 16 28.10,+28 07 35.8,6.852,-25.905,7.732,GaiaDR2,15.770,15,7,1,1,1,0,*,2MASS J04162810+2807358
2MASS J04163048+3037053,Gaia DR2 166159743378292736,,04 16 30.48,+30 37 05.2,4.426,-6.104,3.229,GaiaDR2,,,0,0,1,0,0,,2MASS J04163048+3037053
2MASS J04163911+2858491,Gaia DR2 164783811951433856,,04 16 39.12,+28 58 49.1,4.975,-15.000,6.278,GaiaDR2,16.670,17,0,0,1,1,0,,2MASS J04163911+2858491
2MASS J04173372+2820468,Gaia DR2 164698634160139264,CYTau,04 17 33.72,+28 20 46.7,9.180,-25.548,7.789,GaiaDR2,16.680,15,7,1,1,1,0,*,2MASS J04173372+2820468
2MASS J04173893+2833005,Gaia DR2 164705368668853120,LkCa5,04 17 38.95,+28 33 00.4,6.869,-25.249,7.706,GaiaDR2,15.830,15,7,1,1,1,0,*,2MASS J04173893+2833005
2MASS J04174955+2813318,Gaia DR2 164506116546058112,KPNO10,04 17 49.56,+28 13 31.8,8.810,-25.219,7.310,GaiaDR2,15.410,17,7,1,1,1,0,*,2MASS J04174955+2813318
2MASS J04174965+2829362,Gaia DR2 164702070133970944,V410X-ray1,04 17 49.66,+28 29 36.2,6.904,-24.624,7.780,GaiaDR2,16.610,17,7,1,1,1,0,*,2MASS J04174965+2829362
2MASS J04180796+2826036,Gaia DR2 164513022853468160,V410X-ray3,04 18 07.97,+28 26 03.8,8.428,-24.730,8.508,GaiaDR2,16.860,17,0,0,1,1,0,,2MASS J04180796+2826036
2MASS J04181078+2519574,Gaia DR2 150393571269837184,V409Tau,04 18 10.80,+25 19 57.4,8.827,-23.335,7.643,GaiaDR2,,,7,0,1,1,0,,2MASS J04181078+2519574
2MASS J04181710+2828419,Gaia DR2 164519276325850752,V410Anon13,04 18 17.11,+28 28 41.9,5.789,-25.031,8.070,GaiaDR2,16.230,17,7,0,1,1,0,,2MASS J04181710+2828419
2MASS J04182147+1658470,Gaia DR2 45787585487165184,HBC372,04 18 21.48,+16 58 46.9,5.664,-9.748,5.544,GaiaDR2,15.818,15,0,0,1,0,0,,2MASS J04182147+1658470
2MASS J04182909+2826191,,V410Anon25,04 18 29.11,+28 26 19.0,8.384,-19.627,7.583,VLBI,,,0,0,1,1,0,,2MASS J04182909+2826191
2MASS J04183030+2743208,Gaia DR2 164409359522965120,KPNO11,04 18 30.31,+27 43 21.0,8.733,-26.265,7.729,GaiaDR2,15.540,17,7,1,1,1,0,*,2MASS J04183030+2743208
2MASS J04183110+2827162,Gaia DR2 164518589131083136,V410TauA+B+C,04 18 31.10,+28 27 16.2,8.703,-24.985,7.751,VLBI,19.900,15,7,1,1,1,0,*,2MASS J04183110+2827162
2MASS J04183112+2816290,Gaia DR2 164507353496637952,DDTauA+B,04 18 31.13,+28 16 28.9,8.816,-25.644,8.155,GaiaDR2,13.900,15,0,0,1,1,0,,2MASS J04183112+2816290
,,SSTTau041831.2+282617,04 18 31.24,+28 26 18.0,,,,,,,0,0,0,1,0,,SSTtau 041831.2+282617
2MASS J04183158+2816585,Gaia DR2 164507594014806400,CZTauA+B,04 18 31.58,+28 16 58.4,,,,,13.520,17,0,0,1,1,0,,2MASS J04183158+2816585
2MASS J04183203+2831153,Gaia DR2 164521097391597824,IRAS04154+2823,04 18 32.04,+28 31 15.2,,,,,,,0,0,1,1,0,,2MASS J04183203+2831153
2MASS J04183444+2830302,,V410X-ray2,04 18 34.44,+28 30 30.2,,,,,18.150,17,0,0,1,1,0,,2MASS J04183444+2830302
2MASS J04184023+2824245,Gaia DR2 164515256236723584,V410X-ray4,04 18 40.22,+28 24 24.5,,,,,16.380,17,0,0,1,1,0,,2MASS J04184023+2824245
2MASS J04184061+2819155,Gaia DR2 164513602672978304,V892Tau,04 18 40.63,+28 19 15.6,6.619,-29.875,8.545,GaiaDR2,1.360,17,0,0,1,1,0,,2MASS J04184061+2819155
,,V892TauNE,04 18 40.74,+28 19 18.9,,,,,,,0,0,0,1,0,,V* V892 Tau B
2MASS J04184133+2827250,,LR1,04 18 41.33,+28 27 24.8,,,,,16.760,17,0,0,1,1,0,,2MASS J04184133+2827250
2MASS J04184250+2818498,Gaia DR2 164513400810646912,V410X-ray7,04 18 42.50,+28 18 49.7,12.128,-24.146,7.998,GaiaDR2,,,0,0,1,1,0,,2MASS J04184250+2818498
2MASS J04184530+2758484,,,04 18 45.30,+27 58 48.5,,,,,,,0,0,0,1,0,,2MASS J04184530+2758484
2MASS J04184703+2820073,Gaia DR2 164513538249595136,Hubble4,04 18 47.04,+28 20 07.4,8.371,-25.490,7.686,VLBI,12.690,18,7,1,1,1,0,*,2MASS J04184703+2820073
2MASS J04185115+2814332,Gaia DR2 164495323291866624,KPNO2,04 18 51.17,+28 14 33.4,8.614,-24.653,7.988,GaiaDR2,,,7,1,1,1,0,*,2MASS J04185115+2814332
2MASS J04185147+2820264,Gaia DR2 164513572609331456,CoKuTau1,04 18 51.48,+28 20 26.5,,,,,15.220,17,0,0,1,1,0,,2MASS J04185147+2820264
2MASS J04185170+1723165,Gaia DR2 47316005432912256,HBC376,04 18 51.70,+17 23 16.4,3.087,-13.062,8.238,GaiaDR2,15.500,15,0,0,1,0,0,,2MASS J04185170+1723165
2MASS J04185813+2812234,Gaia DR2 164494296796124416,IRAS04158+2805,04 18 58.15,+28 12 23.4,5.672,-23.139,11.173,GaiaDR2,17.210,17,0,0,1,1,0,,2MASS J04185813+2812234
2MASS J04190110+2819420,Gaia DR2 164502062096975744,V410X-ray6,04 19 01.10,+28 19 41.9,8.705,-25.337,8.407,GaiaDR2,16.010,17,7,1,1,1,0,*,2MASS J04190110+2819420
2MASS J04190126+2802487,Gaia DR2 164487734085116800,KPNO12,04 19 01.27,+28 02 48.8,,,,,,,0,0,1,1,0,,2MASS J04190126+2802487
2MASS J04190197+2822332,Gaia DR2 164514053645658752,V410X-ray5a,04 19 01.99,+28 22 33.2,9.188,-25.756,7.434,GaiaDR2,15.980,17,0,0,1,1,0,,2MASS J04190197+2822332
,,FQTauB,04 19 12.80,+28 29 32.5,,,,,,,0,0,0,1,0,,V* FQ Tau
2MASS J04191281+2829330,Gaia DR2 164517313524721536,FQTauA,04 19 12.82,+28 29 33.0,,,,,15.350,17,0,0,1,1,0,,2MASS J04191281+2829330
2MASS J04191583+2906269,Gaia DR2 164832740220756608,BPTau,04 19 15.84,+29 06 27.0,8.627,-26.177,7.777,GaiaDR2,15.240,15,0,0,1,1,0,,2MASS J04191583+2906269
